time,timesecs,timens,j0pos,j1pos,j2pos,j3pos,j4pos,j5pos,j0vel,j1vel,j2vel,j3vel,j4vel,j5vel,j0acc,j1acc,j2acc,j3acc,j4acc,j5acc
 0.00,0,0,-0.863659,-1.565304,1.646955,-1.654422,-1.570254,-0.863578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 0.07,0,70403981,-0.863728,-1.565405,1.646953,-1.653129,-1.569879,-0.863728,0.099479,-0.10675,0.105832,0.009326,0.002532,0.098905,2.936664,-3.078771,3.094634,-0.264156,-0.081855,2.953417 
 0.13,0,136829485,-0.850447,-1.579491,1.661015,-1.65311,-1.569897,-0.850447,0.280768,-0.288822,0.285541,0.00316,-0.00037,0.280768,3.103591,-2.94698,2.835429,0.110193,-0.003929,3.10359 
 0.17,0,174585613,-0.836795,-1.593294,1.674584,-1.652882,-1.569914,-0.836794,0.411612,-0.404973,0.394825,0.00997,-0.000531,0.411612,2.934959,-2.312125,2.079577,0.231233,-0.003414,2.934958 
 0.20,0,204985942,-0.822761,-1.606803,1.687664,-1.652459,-1.569932,-0.822761,0.501454,-0.469972,0.451455,0.018298,-0.000632,0.501454,2.793074,-1.795182,1.486228,0.307685,-0.003012,2.793073 
 0.23,0,231630927,-0.808339,-1.620007,1.700257,-1.651855,-1.56995,-0.808338,0.575611,-0.513015,0.485531,0.027231,-0.000709,0.575611,2.695153,-1.369537,1.011428,0.356876,-0.002712,2.695152 
 0.25,0,255928288,-0.793519,-1.632896,1.712368,-1.651083,-1.569968,-0.793518,0.641842,-0.543159,0.506514,0.036361,-0.000774,0.641842,2.721549,-1.083424,0.691023,0.391157,-0.002598,2.721548 
 0.27,0,278525356,-0.778294,-1.645457,1.723996,-1.650157,-1.569987,-0.778294,0.70166,-0.563013,0.517413,0.045289,-0.00083,0.70166,2.535758,-0.649775,0.254148,0.394474,-0.00226,2.535757 
 0.29,0,299958172,-0.762657,-1.657677,1.735146,-1.649094,-1.570005,-0.762657,0.755887,-0.574142,0.520074,0.053732,-0.000877,0.755887,2.508558,-0.379101,-0.012943,0.390919,-0.002142,2.508557 
 0.32,0,320484120,-0.746602,-1.669544,1.745818,-1.647907,-1.570023,-0.746601,0.806261,-0.578738,0.516842,0.061538,-0.000919,0.806261,2.383796,-0.061429,-0.306761,0.367143,-0.001935,2.383795 
 0.34,0,340331688,-0.730122,-1.681042,1.756015,-1.646612,-1.570042,-0.730122,0.86027,-0.582317,0.512802,0.069134,-0.000965,0.860269,3.084045,-0.304619,-0.097238,0.40053,-0.002666,3.084044 
 0.35,0,359326331,-0.713213,-1.69216,1.765737,-1.645225,-1.570061,-0.713212,0.912922,-0.581821,0.505439,0.075979,-0.001008,0.912922,2.419878,0.368097,-0.6841,0.315007,-0.001881,2.419877 
 0.37,0,377862529,-0.69587,-1.70288,1.774987,-1.643761,-1.57008,-0.695869,0.954623,-0.571458,0.48987,0.081168,-0.001039,0.954622,2.064818,0.751017,-0.994607,0.242792,-0.001486,2.064817 
 0.39,0,396123988,-0.67809,-1.71319,1.783766,-1.642238,-1.570099,-0.67809,0.993384,-0.557084,0.471388,0.085261,-0.001068,0.993384,2.181521,0.823909,-1.029936,0.205223,-0.001623,2.18152 
 0.41,0,414105851,-0.659872,-1.723073,1.792075,-1.640672,-1.570118,-0.659871,1.033719,-0.541568,0.45253,0.088589,-0.001098,1.033719,2.306018,0.902566,-1.068059,0.164687,-0.00177,2.306017 
 0.43,0,431802787,-0.641214,-1.732515,1.799914,-1.639078,-1.570138,-0.641214,1.075693,-0.524851,0.433267,0.091121,-0.001131,1.075692,2.439001,0.987537,-1.109433,0.12109,-0.00193,2.438999 
 0.44,0,449209031,-0.622118,-1.741499,1.807286,-1.637473,-1.570158,-0.622117,1.113718,-0.504407,0.41157,0.092362,-0.00116,1.113718,1.916763,1.358174,-1.379309,0.020614,-0.001416,1.916762 
 0.46,0,466489519,-0.602585,-1.750012,1.814192,-1.635874,-1.570178,-0.602584,1.147465,-0.480391,0.387622,0.092285,-0.001186,1.147465,1.989897,1.422101,-1.392859,-0.029731,-0.001536,1.989895 
 0.48,0,483633362,-0.582619,-1.758038,1.820632,-1.634297,-1.570199,-0.582619,1.182234,-0.455433,0.363602,0.091339,-0.001213,1.182234,2.067292,1.490173,-1.409764,-0.080864,-0.001663,2.067291 
 0.50,0,500629107,-0.562226,-1.765562,1.826607,-1.632756,-1.57022,-0.562226,1.218057,-0.429496,0.339471,0.089526,-0.001242,1.218057,2.149334,1.562861,-1.43053,-0.132746,-0.001796,2.149333 
 0.51,0,517464786,-0.541413,-1.772571,1.832118,-1.631268,-1.570241,-0.541413,1.254966,-0.402538,0.31518,0.086851,-0.001274,1.254965,2.236445,1.640699,-1.45573,-0.185342,-0.001936,2.236444 
 0.53,0,534127976,-0.52019,-1.779049,1.837167,-1.629846,-1.570263,-0.520189,1.299554,-0.376312,0.292069,0.083729,-0.001314,1.299553,3.136469,1.514366,-1.32454,-0.190465,-0.002898,3.136467 
 0.55,0,550442722,-0.498566,-1.784985,1.841754,-1.628506,-1.570284,-0.498566,1.338733,-0.347167,0.267292,0.079356,-0.00135,1.338732,1.634693,2.044474,-1.700515,-0.34392,-0.001439,1.634692 
 0.56,0,566722213,-0.476555,-1.790366,1.84588,-1.62726,-1.570307,-0.476555,1.365641,-0.313565,0.239652,0.073396,-0.001374,1.365641,1.671978,2.084702,-1.696022,-0.388578,-0.001541,1.671976 
 0.58,0,582950658,-0.454172,-1.795179,1.849545,-1.62612,-1.570329,-0.454172,1.393091,-0.27938,0.21212,0.066745,-0.0014,1.39309,1.711821,2.129444,-1.697893,-0.431386,-0.001644,1.71182 
 0.59,0,599111708,-0.431435,-1.799416,1.852751,-1.625098,-1.570352,-0.431434,1.421092,-0.244574,0.184617,0.059445,-0.001427,1.421091,1.754441,2.179204,-1.706631,-0.472343,-0.00175,1.754439 
 0.61,0,615188551,-0.408361,-1.803065,1.855498,-1.624203,-1.570375,-0.40836,1.449656,-0.209105,0.157057,0.05154,-0.001456,1.449655,1.800067,2.234533,-1.722797,-0.511439,-0.001858,1.800066 
 0.63,0,631164017,-0.384971,-1.80612,1.857787,-1.623445,-1.570399,-0.384971,1.478794,-0.172928,0.12935,0.043075,-0.001487,1.478793,1.848949,2.296034,-1.747013,-0.548654,-0.00197,1.848947 
 0.64,0,647020702,-0.361289,-1.808572,1.859617,-1.622831,-1.570422,-0.361289,1.508518,-0.135991,0.101395,0.034099,-0.001519,1.508517,1.901348,2.364363,-1.779975,-0.583951,-0.002084,1.901346 
 0.66,0,662741091,-0.337339,-1.810417,1.86099,-1.622368,-1.570446,-0.337339,1.538839,-0.098239,0.073089,0.024661,-0.001552,1.538838,1.957548,2.44024,-1.82246,-0.61727,-0.002203,1.957546 
 0.67,0,678307697,-0.313146,-1.811649,1.861906,-1.622059,-1.570471,-0.313146,1.56977,-0.059612,0.044318,0.014813,-0.001588,1.569769,2.017849,2.524445,-1.875336,-0.648525,-0.002326,2.017847 
 0.69,0,693703192,-0.288738,-1.812266,1.862365,-1.621908,-1.570496,-0.288738,1.601322,-0.020043,0.014963,0.004609,-0.001625,1.601321,2.082571,2.617831,-1.939575,-0.677597,-0.002455,2.082569 
 0.70,0,708910555,-0.264144,-1.812266,1.862367,-1.621917,-1.570521,-0.264144,1.625341,0.020335,-0.014954,-0.005839,-0.001655,1.625341,1.065384,2.681079,-1.986519,-0.69353,-0.00148,1.065382 
 0.72,0,724063230,-0.239393,-1.811649,1.861912,-1.622085,-1.570546,-0.239393,1.641595,0.061184,-0.04526,-0.016366,-0.001677,1.641594,1.080605,2.712299,-2.014905,-0.696313,-0.001547,1.080603 
 0.73,0,739142279,-0.214516,-1.810418,1.861,-1.622411,-1.570571,-0.214516,1.658011,0.102363,-0.075931,-0.026857,-0.001701,1.65801,1.097437,2.751282,-2.054446,-0.695705,-0.001616,1.097435 
 0.75,0,754128954,-0.189544,-1.808574,1.85963,-1.622892,-1.570597,-0.189544,1.649844,0.141511,-0.105287,-0.036626,-0.0017,1.649843,-2.16617,2.436978,-1.836027,-0.599015,0.001712,-2.16617 
 0.76,0,769455597,-0.16451,-1.806122,1.857803,-1.623523,-1.570623,-0.164509,1.625341,0.178514,-0.133311,-0.045579,-0.001683,1.62534,-1.049278,2.405112,-1.830876,-0.572622,0.000548,-1.049278 
 0.78,0,784955018,-0.139443,-1.803068,1.855518,-1.624298,-1.570649,-0.139443,1.601322,0.213929,-0.160467,-0.053811,-0.001667,1.601321,-2.035514,2.156436,-1.66672,-0.48794,0.001564,-2.035514 
 0.80,0,800765935,-0.114377,-1.799418,1.852775,-1.625209,-1.570675,-0.114377,1.56977,0.246891,-0.186159,-0.061054,-0.001643,1.569769,-1.957328,2.015436,-1.584688,-0.429067,0.001485,-1.957328 
 0.81,0,816874474,-0.089341,-1.795182,1.849573,-1.626248,-1.570701,-0.089341,1.538839,0.278315,-0.21111,-0.067501,-0.001619,1.538838,-1.88448,1.888149,-1.514571,-0.371991,0.001412,-1.88448 
 0.83,0,833266042,-0.064368,-1.790369,1.84591,-1.627404,-1.570728,-0.064368,1.508518,0.308308,-0.235439,-0.07314,-0.001597,1.508517,-1.816558,1.773179,-1.455007,-0.316676,0.001344,-1.816558 
 0.84,0,849925447,-0.039488,-1.784988,1.841788,-1.628666,-1.570754,-0.039487,1.478794,0.336969,-0.259251,-0.077964,-0.001575,1.478793,-1.753181,1.669271,-1.404802,-0.263063,0.001281,-1.753181 
 0.86,0,866837029,-0.014728,-1.779053,1.837204,-1.630022,-1.570781,-0.014728,1.449656,0.364392,-0.282646,-0.081969,-0.001554,1.449655,-1.693994,1.575301,-1.362906,-0.211075,0.001221,-1.693993 
 0.88,0,883984793,0.009883,-1.772574,1.832158,-1.631458,-1.570807,0.009883,1.421092,0.390665,-0.305714,-0.085152,-0.001533,1.421091,-1.638669,1.490262,-1.328401,-0.160625,0.001165,-1.638668 
 0.90,0,901352528,0.034319,-1.765566,1.82665,-1.632961,-1.570833,0.034319,1.386263,0.413749,-0.326853,-0.087075,-0.001506,1.386262,-2.356737,1.164703,-1.102297,-0.061162,0.001953,-2.356736 
 0.91,0,919099654,0.058554,-1.758042,1.820677,-1.634516,-1.57086,0.058554,1.345493,0.433507,-0.345933,-0.087732,-0.001472,1.345492,-2.239714,1.063336,-1.048809,-0.013397,0.001845,-2.239713 
 0.93,0,937215429,0.082565,-1.750016,1.81424,-1.636108,-1.570886,0.082565,1.305922,0.451934,-0.364503,-0.08757,-0.00144,1.305922,-2.130694,0.972199,-1.002097,0.030922,0.001743,-2.130694 
 0.95,0,955688838,0.10633,-1.741503,1.807337,-1.63772,-1.570913,0.10633,1.267515,0.469126,-0.382632,-0.086615,-0.001409,1.267515,-2.028987,0.890128,-0.96125,0.072048,0.001647,-2.028986 
 0.97,0,974508697,0.129828,-1.732518,1.799967,-1.639337,-1.570939,0.129828,1.230238,0.485172,-0.40038,-0.084897,-0.001379,1.230237,-1.933966,0.816103,-0.925483,0.110213,0.001556,-1.933965 
 0.99,0,993663749,0.153042,-1.723076,1.79213,-1.640944,-1.570965,0.153042,1.188234,0.497645,-0.415691,-0.082043,-0.001343,1.188233,-2.435665,0.486714,-0.672158,0.186229,0.002144,-2.435664 
 1.01,1,13337547,0.175954,-1.713192,1.783823,-1.642522,-1.570991,0.175953,1.141869,0.506511,-0.428466,-0.07812,-0.001302,1.141869,-2.279879,0.415582,-0.62714,0.212243,0.001998,-2.279878 
 1.03,1,33527199,0.198549,-1.702882,1.775046,-1.644057,-1.571017,0.198549,1.097314,0.51426,-0.440716,-0.073606,-0.001263,1.097313,-2.135799,0.352866,-0.586949,0.234677,0.001863,-2.135798 
 1.05,1,54229776,0.220814,-1.692161,1.765798,-1.645531,-1.571043,0.220814,1.049381,0.518391,-0.450221,-0.06822,-0.00122,1.04938,-2.478091,0.049688,-0.332737,0.28358,0.002296,-2.478089 
 1.07,1,75654522,0.242738,-1.681043,1.756077,-1.646928,-1.571068,0.242737,0.99363,0.516393,-0.454656,-0.061776,-0.001167,0.993629,-2.707777,-0.230236,-0.085036,0.315729,0.002617,-2.707776 
 1.09,1,98032545,0.264309,-1.669544,1.745882,-1.648233,-1.571094,0.264309,0.936044,0.510959,-0.456212,-0.054776,-0.001112,0.936044,-2.443011,-0.254763,-0.054648,0.309782,0.002363,-2.44301 
 1.12,1,121390789,0.285521,-1.657677,1.735211,-1.64943,-1.571119,0.285521,0.877561,0.502315,-0.45492,-0.047417,-0.001054,0.87756,-2.547498,-0.477883,0.159859,0.318328,0.00255,-2.547497 
 1.14,1,146000756,0.306366,-1.645456,1.724063,-1.650503,-1.571144,0.306366,0.810734,0.485888,-0.446435,-0.039468,-0.000985,0.810733,-2.842811,-0.838189,0.514668,0.323763,0.002987,-2.84281 
 1.17,1,172435428,0.326839,-1.632894,1.712435,-1.651437,-1.571169,0.326839,0.735241,0.46081,-0.429636,-0.031184,-0.000905,0.73524,-2.836186,-1.040125,0.739997,0.300307,0.003075,-2.836184 
 1.20,1,201307847,0.346935,-1.620005,1.700326,-1.652218,-1.571194,0.346934,0.665363,0.435763,-0.412395,-0.023374,-0.000829,0.665363,-2.046303,-0.711773,0.467785,0.24411,0.002184,-2.046302 
 1.23,1,232372102,0.366651,-1.6068,1.687733,-1.65283,-1.571219,0.366651,0.582661,0.397924,-0.382161,-0.015765,-0.000736,0.582661,-3.083695,-1.61022,1.376168,0.234133,0.003595,-3.083693 
 1.26,1,268811292,0.385987,-1.59329,1.674654,-1.653261,-1.571244,0.385986,0.470087,0.33451,-0.326066,-0.008445,-0.000602,0.470087,-2.927252,-1.752453,1.589583,0.162909,0.003542,-2.92725 
 1.31,1,315090261,0.40494,-1.579486,1.661085,-1.653496,-1.571268,0.40494,0.289144,0.21313,-0.210472,-0.002657,-0.000375,0.289144,-3.080555,-2.178246,2.116353,0.061895,0.003935,-3.080553 
 1.42,1,425158342,0.423513,-1.565399,1.647024,-1.653522,-1.571292,0.423512,0.124296,-0.025501,0.025206,0.000347,-0.00014,0.124296,-0.822584,-2.841188,2.831317,0.010817,0.001504,-0.822583 
 1.53,1,531182921,0.43198,-1.584376,1.665913,-1.653423,-1.571299,0.431979,0.136043,-0.296017,0.290401,0.005787,-0.0001,0.136043,1.481883,-3.086555,2.960293,0.128064,-0.001099,1.481883 
 1.57,1,576817326,0.440752,-1.603225,1.684287,-1.652937,-1.571305,0.440751,0.224988,-0.471832,0.454535,0.017572,-0.000167,0.224988,1.619565,-2.906436,2.565584,0.342611,-0.001219,1.619565 
 1.61,1,612092030,0.449844,-1.621943,1.702152,-1.652073,-1.571312,0.449843,0.286697,-0.576408,0.543832,0.032916,-0.000213,0.286697,1.777706,-2.811614,2.296758,0.516629,-0.00135,1.777706 
 1.64,1,641957056,0.459271,-1.640524,1.71951,-1.650839,-1.571319,0.45927,0.343689,-0.66165,0.611059,0.050986,-0.000257,0.343689,1.997087,-2.809805,2.123966,0.687696,-0.001525,1.997087 
 1.66,1,668259579,0.469048,-1.658965,1.736367,-1.649244,-1.571326,0.469048,0.398485,-0.733947,0.663286,0.071104,-0.000299,0.398485,2.133419,-2.618982,1.786503,0.834326,-0.001636,2.133419 
 1.69,1,692116402,0.479193,-1.677258,1.752725,-1.647298,-1.571334,0.479193,0.45125,-0.794445,0.702337,0.092595,-0.000339,0.45125,2.265926,-2.409125,1.450251,0.960713,-0.001741,2.265926 
 1.71,1,714178778,0.489722,-1.695396,1.768588,-1.645012,-1.571342,0.489722,0.504049,-0.847389,0.732619,0.1153,-0.00038,0.504049,2.511778,-2.371265,1.278417,1.094807,-0.001927,2.511778 
 1.73,1,734773602,0.500655,-1.713369,1.783957,-1.642397,-1.57135,0.500655,0.557996,-0.894934,0.75648,0.139026,-0.000421,0.557996,2.716143,-2.225831,1.022779,1.205089,-0.002077,2.716143 
 1.75,1,754177573,0.512009,-1.731166,1.798834,-1.639465,-1.571358,0.512009,0.605947,-0.92641,0.76555,0.161465,-0.000458,0.605947,2.175593,-0.964573,-0.12113,1.087097,-0.00166,2.175593 
 1.77,1,772998909,0.523805,-1.748775,1.813221,-1.636231,-1.571367,0.523805,0.62992,-0.917374,0.741085,0.176903,-0.000476,0.62992,0.333344,1.912227,-2.441609,0.528966,-0.000253,0.333344 
 1.79,1,792361187,0.536064,-1.766184,1.827119,-1.632708,-1.571377,0.536063,0.633545,-0.877301,0.692497,0.185408,-0.000479,0.633545,0.044874,2.21175,-2.562625,0.350262,-1.8e-05,0.044874 
 1.81,1,812459198,0.548805,-1.783378,1.840528,-1.628912,-1.571386,0.548805,0.631709,-0.830692,0.640601,0.190681,-0.000477,0.631709,-0.221523,2.409982,-2.587496,0.176742,0.000199,-0.221523 
 1.83,1,833506075,0.562053,-1.80034,1.853451,-1.62486,-1.571396,0.562053,0.621452,-0.77507,0.583894,0.191746,-0.000468,0.621452,-0.733544,2.835013,-2.766892,-0.069263,0.000599,-0.733543 
 1.85,1,855961667,0.575829,-1.817052,1.865887,-1.620571,-1.571407,0.575829,0.600295,-0.709031,0.521745,0.187827,-0.000451,0.600295,-1.12503,3.005305,-2.736468,-0.270222,0.000902,-1.125029 
 1.88,1,880365189,0.590157,-1.833496,1.877837,-1.616065,-1.571417,0.590156,0.620195,-0.69097,0.496122,0.195399,-0.000464,0.620195,2.802341,-1.452531,0.545059,0.909629,-0.002024,2.802341 
 1.90,1,903178453,0.60506,-1.84965,1.889302,-1.611362,-1.571429,0.60506,0.683599,-0.718844,0.504103,0.21534,-0.00051,0.683599,2.724,-0.963718,0.139003,0.826771,-0.001924,2.724 
 1.92,1,924894021,0.620563,-1.865493,1.900282,-1.606486,-1.57144,0.620563,0.740356,-0.733453,0.502361,0.231733,-0.000549,0.740355,2.473338,-0.363083,-0.30783,0.672743,-0.00169,2.473338 
 1.94,1,945926813,0.636691,-1.881001,1.910779,-1.601461,-1.571452,0.636691,0.794445,-0.739817,0.494894,0.245605,-0.000586,0.794445,2.669524,-0.23977,-0.403187,0.644968,-0.00178,2.669524 
 1.96,1,966334033,0.653468,-1.89615,1.920793,-1.596313,-1.571464,0.653467,0.847389,-0.74027,0.483716,0.257275,-0.00062,0.847389,2.503526,0.20111,-0.693078,0.493864,-0.001595,2.503527 
 1.98,1,986330437,0.670918,-1.910912,1.930326,-1.591068,-1.571477,0.670918,0.89952,-0.735322,0.469394,0.266689,-0.000653,0.89952,2.712357,0.294749,-0.739766,0.447131,-0.001676,2.712357 
